"transaction_id","item"
1,"bread"
1,"butter"
1,"cola"
2,"cola"
2,"chips"
3,"bread"
3,"butter"
3,"milk"
4,"milk"
4,"cola"
4,"chips"
5,"bread"
5,"butter"
5,"milk"
5,"eggs"
6,"bread"
6,"butter"
6,"cola"
7,"diapers"
7,"beer"
8,""
9,"bread"
9,"milk"
9,"eggs"
10,"bread"
10,"milk"
10,"eggs"
10,"diapers"
10,"beer"
10,"cola"
10,"chips"
11,"milk"
11,"diapers"
11,"beer"
11,"cola"
11,"chips"
12,"bread"
12,"butter"
12,"diapers"
12,"cola"
13,"bread"
13,"butter"
13,"milk"
13,"cola"
14,"milk"
14,"cola"
15,"bread"
15,"milk"
15,"eggs"
15,"diapers"
15,"beer"
15,"cola"
15,"chips"
16,""
17,"bread"
17,"cola"
17,"chips"
18,"diapers"
18,"beer"
19,""
20,"bread"
20,"butter"
20,"milk"
20,"eggs"
20,"cola"
20,"chips"
21,""
22,"bread"
22,"milk"
22,"eggs"
22,"diapers"
22,"beer"
23,"bread"
23,"butter"
23,"milk"
24,"bread"
24,"butter"
25,"milk"
25,"eggs"
26,"bread"
26,"milk"
27,"bread"
27,"butter"
27,"diapers"
27,"beer"
27,"cola"
27,"chips"
28,"bread"
28,"butter"
29,"milk"
29,"eggs"
30,"bread"
30,"butter"
30,"cola"
30,"chips"
31,""
32,"milk"
32,"eggs"
33,"milk"
34,"bread"
34,"milk"
34,"eggs"
34,"cola"
34,"chips"
35,"bread"
35,"milk"
35,"diapers"
35,"beer"
36,"bread"
36,"butter"
36,"cola"
36,"chips"
37,"diapers"
37,"beer"
38,"milk"
39,"bread"
39,"butter"
39,"milk"
39,"eggs"
40,"bread"
40,"butter"
40,"milk"
40,"eggs"
40,"cola"
40,"chips"
41,"bread"
41,"butter"
41,"milk"
42,"bread"
42,"butter"
42,"milk"
42,"eggs"
42,"cola"
42,"chips"
43,"bread"
43,"butter"
43,"milk"
43,"eggs"
44,"milk"
44,"cola"
44,"chips"
45,"bread"
45,"butter"
45,"cola"
45,"chips"
46,"diapers"
46,"beer"
47,"milk"
47,"eggs"
47,"diapers"
47,"beer"
47,"cola"
47,"chips"
48,"bread"
48,"butter"
48,"milk"
48,"eggs"
48,"cola"
48,"chips"
49,"milk"
49,"eggs"
49,"diapers"
49,"beer"
49,"cola"
49,"chips"
50,"bread"
50,"butter"
50,"milk"
51,"milk"
51,"eggs"
51,"diapers"
52,"bread"
52,"butter"
52,"milk"
52,"eggs"
52,"cola"
53,"bread"
53,"butter"
53,"milk"
53,"eggs"
54,"bread"
54,"butter"
54,"milk"
54,"eggs"
55,"milk"
55,"eggs"
56,"cola"
57,"milk"
57,"eggs"
57,"cola"
57,"chips"
58,"bread"
58,"butter"
59,"bread"
59,"butter"
59,"milk"
59,"diapers"
59,"beer"
59,"cola"
59,"chips"
60,"milk"
60,"eggs"
61,"milk"
61,"diapers"
62,"bread"
62,"butter"
62,"diapers"
62,"beer"
63,"bread"
64,"bread"
64,"milk"
64,"eggs"
64,"cola"
65,"bread"
65,"butter"
65,"milk"
65,"eggs"
66,"bread"
66,"butter"
66,"cola"
67,"bread"
67,"butter"
67,"cola"
67,"chips"
68,"milk"
68,"eggs"
68,"diapers"
68,"beer"
68,"cola"
69,"cola"
70,"bread"
71,""
72,"bread"
72,"butter"
73,"milk"
73,"eggs"
73,"cola"
74,"cola"
74,"chips"
75,"bread"
75,"butter"
75,"cola"
75,"chips"
76,"milk"
76,"eggs"
77,"bread"
77,"butter"
77,"milk"
77,"diapers"
77,"beer"
78,"bread"
78,"butter"
78,"milk"
78,"eggs"
79,"diapers"
79,"beer"
80,"bread"
80,"butter"
80,"milk"
80,"cola"
80,"chips"
81,"milk"
81,"cola"
81,"chips"
82,"bread"
82,"milk"
82,"eggs"
83,"bread"
84,"bread"
84,"butter"
84,"diapers"
84,"beer"
85,"bread"
85,"butter"
85,"milk"
85,"eggs"
86,"milk"
86,"eggs"
87,"milk"
88,""
89,"bread"
89,"diapers"
89,"beer"
90,"bread"
90,"butter"
90,"cola"
90,"chips"
91,"bread"
92,"diapers"
92,"beer"
92,"cola"
92,"chips"
93,"bread"
93,"butter"
93,"milk"
93,"eggs"
93,"cola"
94,"milk"
94,"eggs"
94,"diapers"
94,"cola"
94,"chips"
95,"cola"
96,"milk"
96,"eggs"
96,"diapers"
97,"milk"
97,"eggs"
98,"milk"
98,"diapers"
98,"cola"
98,"chips"
99,"bread"
99,"butter"
100,"bread"
101,"milk"
101,"eggs"
101,"cola"
101,"chips"
102,"cola"
103,""
104,"bread"
104,"butter"
104,"milk"
104,"cola"
105,"cola"
106,"bread"
106,"milk"
106,"eggs"
107,"bread"
107,"butter"
107,"milk"
107,"diapers"
107,"cola"
107,"chips"
108,"bread"
108,"butter"
108,"diapers"
108,"beer"
109,"cola"
110,"bread"
110,"butter"
110,"milk"
110,"eggs"
111,"milk"
111,"diapers"
111,"beer"
111,"cola"
111,"chips"
112,""
113,"milk"
113,"eggs"
113,"cola"
113,"chips"
114,"bread"
115,"bread"
115,"butter"
115,"milk"
115,"eggs"
115,"cola"
115,"chips"
116,""
117,"bread"
117,"butter"
117,"milk"
117,"eggs"
117,"diapers"
117,"beer"
117,"cola"
118,"milk"
118,"eggs"
119,"bread"
119,"butter"
119,"milk"
119,"diapers"
119,"beer"
120,"bread"
120,"butter"
120,"cola"
121,"bread"
122,"milk"
122,"eggs"
123,"cola"
124,"bread"
124,"butter"
124,"milk"
124,"eggs"
125,"bread"
125,"butter"
125,"cola"
126,"bread"
126,"butter"
126,"milk"
126,"eggs"
127,"milk"
127,"diapers"
127,"beer"
128,"bread"
128,"butter"
128,"milk"
128,"eggs"
128,"cola"
128,"chips"
129,"bread"
129,"butter"
129,"diapers"
129,"beer"
130,"diapers"
130,"beer"
130,"cola"
130,"chips"
131,"bread"
131,"milk"
131,"diapers"
131,"cola"
131,"chips"
132,"bread"
132,"butter"
133,"bread"
133,"milk"
134,"bread"
134,"milk"
135,"milk"
135,"diapers"
135,"beer"
135,"cola"
135,"chips"
136,"bread"
136,"butter"
136,"milk"
137,"milk"
137,"eggs"
137,"cola"
138,"bread"
138,"diapers"
138,"beer"
138,"cola"
139,"bread"
139,"butter"
139,"milk"
139,"eggs"
140,"bread"
140,"butter"
140,"cola"
141,"bread"
141,"butter"
142,"bread"
142,"butter"
142,"milk"
142,"eggs"
143,""
144,"bread"
144,"butter"
145,"milk"
145,"eggs"
146,"bread"
146,"butter"
146,"cola"
147,"milk"
147,"diapers"
147,"beer"
147,"cola"
148,"bread"
148,"butter"
148,"milk"
148,"eggs"
148,"cola"
148,"chips"
149,"bread"
149,"butter"
149,"cola"
149,"chips"
150,"diapers"
150,"beer"
150,"cola"
150,"chips"
151,"bread"
152,""
153,"cola"
153,"chips"
154,"bread"
154,"butter"
154,"milk"
154,"eggs"
154,"diapers"
154,"beer"
154,"cola"
154,"chips"
155,"bread"
155,"diapers"
155,"beer"
155,"cola"
155,"chips"
156,"bread"
156,"butter"
156,"milk"
156,"eggs"
157,"milk"
157,"eggs"
157,"cola"
158,""
159,"milk"
160,"bread"
160,"butter"
160,"milk"
160,"cola"
160,"chips"
161,""
162,"milk"
162,"eggs"
162,"cola"
162,"chips"
163,"bread"
163,"butter"
164,"milk"
164,"eggs"
165,"bread"
165,"butter"
165,"diapers"
165,"beer"
165,"cola"
165,"chips"
166,"bread"
166,"butter"
166,"cola"
166,"chips"
167,""
168,"bread"
168,"butter"
168,"diapers"
168,"beer"
168,"cola"
168,"chips"
169,"diapers"
169,"beer"
170,"bread"
170,"butter"
170,"milk"
170,"eggs"
171,"bread"
171,"butter"
171,"milk"
171,"diapers"
171,"beer"
172,"milk"
172,"eggs"
172,"diapers"
172,"beer"
173,"bread"
173,"milk"
173,"eggs"
174,""
175,"bread"
175,"milk"
